epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.632,3.34392,3.00489,3.19458,0.00766,0.33998,0.01842,0.00579,3.10838,3.58324,2.71459,0.0674853,0.000328431,0.000328431
2,433.381,3.01594,2.67096,2.67803,0.16512,0.149,0.08243,0.02976,2.86476,2.86093,2.63753,0.034482,0.000658489,0.000658489
3,648.515,2.80714,2.57944,2.55733,0.08325,0.09969,0.02994,0.00785,3.14211,3.37941,2.7629,0.00147544,0.000985247,0.000985247
4,861.87,2.67984,2.43397,2.4495,0.18368,0.25382,0.13347,0.04497,2.71479,2.99475,2.44671,0.00098515,0.00098515,0.00098515
5,1074,2.5977,2.38214,2.35865,0.28973,0.28122,0.18018,0.07378,2.59802,2.77841,2.33926,0.0009802,0.0009802,0.0009802
6,1285.27,2.48705,2.27492,2.28176,0.35088,0.30745,0.24535,0.10061,2.44027,2.8316,2.24498,0.00097525,0.00097525,0.00097525
7,1495.93,2.41131,2.23346,2.22461,0.44067,0.31689,0.30191,0.11606,2.39626,2.48238,2.18486,0.0009703,0.0009703,0.0009703
8,1706.68,2.35489,2.16648,2.18184,0.45337,0.35152,0.31013,0.13257,2.33827,2.41928,2.14373,0.00096535,0.00096535,0.00096535
9,1918.08,2.30232,2.1324,2.16059,0.52457,0.38195,0.37446,0.17417,2.26752,2.31926,2.14724,0.0009604,0.0009604,0.0009604
10,20404.9,2.24926,2.04694,2.13327,0.44817,0.3893,0.3491,0.14895,2.31074,2.23595,2.16707,0.00095545,0.00095545,0.00095545
11,20617.1,2.21229,2.02209,2.11295,0.50208,0.38405,0.37149,0.15773,2.26774,2.21392,2.11995,0.0009505,0.0009505,0.0009505
12,20818,2.11944,1.95467,2.04993,0.5407,0.37356,0.41338,0.18921,2.22535,2.18359,2.08512,0.00094555,0.00094555,0.00094555
