epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0968,1.41365,1.44022,1.2374,0.86508,0.59749,0.74232,0.48113,1.29076,1.7596,1.23746,0.0673084,0.000330218,0.000330218
2,32.4945,1.22827,1.00051,1.17021,0.89142,0.74638,0.84532,0.59533,1.08791,0.88806,1.14328,0.0343068,0.000661909,0.000661909
3,47.5095,1.1552,0.91051,1.13724,0.90171,0.79371,0.87271,0.6134,1.04877,0.8109,1.0996,0.00130348,0.00099195,0.00099195
4,62.1415,1.13732,0.87449,1.12738,0.90155,0.78746,0.87177,0.61145,1.07404,0.78715,1.13146,0.000992575,0.000992575,0.000992575
5,77.3137,1.11036,0.83734,1.1232,0.8936,0.78182,0.86659,0.6087,1.05941,0.77673,1.11956,0.0009901,0.0009901,0.0009901
6,92.5656,1.07038,0.82156,1.10649,0.92492,0.79556,0.88703,0.64835,1.00268,0.70984,1.08521,0.000987625,0.000987625,0.000987625
7,108.124,1.07073,0.7941,1.09747,0.90351,0.80627,0.8849,0.63874,1.0095,0.71517,1.0797,0.00098515,0.00098515,0.00098515
8,123.715,1.06527,0.76949,1.08443,0.89134,0.81772,0.89357,0.65222,0.98212,0.68119,1.08097,0.000982675,0.000982675,0.000982675
9,139.827,1.04843,0.76246,1.0867,0.90012,0.80188,0.87462,0.63543,1.01023,0.72404,1.08507,0.0009802,0.0009802,0.0009802
10,155.439,1.00935,0.71913,1.07042,0.91286,0.80782,0.89197,0.66257,0.95043,0.6744,1.07029,0.000977725,0.000977725,0.000977725
11,171.342,1.0104,0.72353,1.06756,0.89704,0.82696,0.89135,0.65959,0.95976,0.69934,1.07281,0.00097525,0.00097525,0.00097525
12,186.944,1.01344,0.71009,1.06404,0.92162,0.81087,0.89115,0.66727,0.94955,0.66261,1.05917,0.000972775,0.000972775,0.000972775
13,202.65,1.00715,0.7146,1.06614,0.92916,0.81693,0.89828,0.6638,0.96064,0.6373,1.07617,0.0009703,0.0009703,0.0009703
14,218.235,0.98533,0.68499,1.062,0.9193,0.82851,0.89811,0.67013,0.95816,0.63195,1.05682,0.000967825,0.000967825,0.000967825
15,233.997,1.00813,0.70115,1.06288,0.9263,0.81003,0.89854,0.67465,0.95481,0.6549,1.06039,0.00096535,0.00096535,0.00096535
16,249.758,1.01457,0.68354,1.06392,0.90468,0.82257,0.89613,0.66283,0.95785,0.6387,1.05704,0.000962875,0.000962875,0.000962875
17,266.073,0.99519,0.68282,1.05119,0.93296,0.81881,0.89955,0.67628,0.93687,0.61831,1.05275,0.0009604,0.0009604,0.0009604
18,281.793,0.96571,0.66178,1.04021,0.92517,0.8,0.8929,0.67206,0.92395,0.63311,1.05434,0.000957925,0.000957925,0.000957925
19,297.369,0.96547,0.66523,1.05219,0.91623,0.82291,0.89647,0.67453,0.91346,0.6699,1.0421,0.00095545,0.00095545,0.00095545
20,312.947,0.97805,0.66558,1.04767,0.93035,0.82508,0.90157,0.67193,0.94224,0.61343,1.05874,0.000952975,0.000952975,0.000952975
21,328.626,0.96892,0.66303,1.04965,0.91045,0.82633,0.89983,0.67454,0.92831,0.64504,1.04453,0.0009505,0.0009505,0.0009505
22,344.382,0.95652,0.65402,1.03627,0.91988,0.82947,0.90476,0.68364,0.92494,0.59577,1.04604,0.000948025,0.000948025,0.000948025
