epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8774,1.8926,1.51717,1.13954,0.60551,0.36888,0.41136,0.21435,1.73228,1.49721,1.09856,0.0670887,0.000332437,0.000332437
2,120.165,1.74106,1.25925,1.08195,0.65867,0.39938,0.46118,0.25142,1.65115,1.21522,1.0603,0.0340854,0.000662475,0.000662475
3,176.229,1.67181,1.17889,1.06275,0.68136,0.40158,0.47504,0.25946,1.61235,1.22033,1.04676,0.00107882,0.000989213,0.000989213
4,232.33,1.64168,1.15662,1.05226,0.68569,0.41258,0.49174,0.27546,1.59523,1.13384,1.03793,0.00098515,0.00098515,0.00098515
5,288.272,1.59985,1.11886,1.04562,0.6597,0.4342,0.50092,0.28146,1.51956,1.09268,1.02056,0.0009802,0.0009802,0.0009802
6,343.605,1.58816,1.1031,1.03488,0.71459,0.41979,0.50246,0.2809,1.5431,1.10484,1.01867,0.00097525,0.00097525,0.00097525
7,399.099,1.57208,1.10394,1.02969,0.67624,0.43732,0.50892,0.28642,1.50705,1.14607,1.01636,0.0009703,0.0009703,0.0009703
8,454.946,1.53541,1.05321,1.02117,0.70522,0.44981,0.52327,0.30051,1.46914,1.09321,1.00716,0.00096535,0.00096535,0.00096535
9,510.555,1.53254,1.05464,1.02227,0.69625,0.46206,0.53081,0.29884,1.50172,1.04016,1.0125,0.0009604,0.0009604,0.0009604
10,566.579,1.52123,1.04455,1.0143,0.69302,0.46246,0.53274,0.29551,1.51113,1.05071,1.00857,0.00095545,0.00095545,0.00095545
11,621.707,1.51277,1.02938,1.01375,0.73203,0.45173,0.53443,0.30853,1.47452,1.04377,1.00051,0.0009505,0.0009505,0.0009505
12,677.262,1.48792,1.02573,1.00637,0.72611,0.45701,0.538,0.30727,1.45518,1.01494,0.99948,0.00094555,0.00094555,0.00094555
13,732.67,1.49026,1.00677,1.00643,0.71758,0.45317,0.53257,0.30653,1.43318,1.03187,0.99221,0.0009406,0.0009406,0.0009406
14,787.932,1.46615,0.99161,1.00125,0.72038,0.46037,0.53832,0.31008,1.43849,1.01609,1.00181,0.00093565,0.00093565,0.00093565
15,843.404,1.4664,0.98211,1.00371,0.7302,0.45917,0.54186,0.31284,1.42545,1.03464,0.99189,0.0009307,0.0009307,0.0009307
16,898.914,1.46155,0.98494,1.00031,0.74346,0.4647,0.54655,0.31789,1.41774,0.98186,0.99117,0.00092575,0.00092575,0.00092575
17,954.331,1.46268,0.97639,0.9946,0.72477,0.45797,0.54153,0.31752,1.41592,0.98693,0.98352,0.0009208,0.0009208,0.0009208
18,1010.69,1.43705,0.96327,0.99007,0.72239,0.46037,0.54286,0.3153,1.41127,0.99383,0.98276,0.00091585,0.00091585,0.00091585
19,1066.02,1.43526,0.96303,0.98971,0.71173,0.46603,0.54067,0.31772,1.40921,0.98976,0.97937,0.0009109,0.0009109,0.0009109
20,1120.54,1.43625,0.96482,0.99139,0.73336,0.46278,0.55009,0.32686,1.37808,0.95933,0.97655,0.00090595,0.00090595,0.00090595
21,1175.93,1.43316,0.94731,0.98537,0.73755,0.46638,0.55236,0.32548,1.39696,0.95692,0.97955,0.000901,0.000901,0.000901
22,1231.09,1.44815,0.96432,0.99287,0.76169,0.46158,0.55313,0.32375,1.39669,0.95257,0.97745,0.00089605,0.00089605,0.00089605
23,1286.42,1.41831,0.9442,0.98315,0.72149,0.46783,0.54561,0.32149,1.39884,0.97412,0.98891,0.0008911,0.0008911,0.0008911
24,1341.32,1.42675,0.95063,0.98382,0.73102,0.47842,0.55905,0.33068,1.38609,0.93987,0.9768,0.00088615,0.00088615,0.00088615
25,1396.49,1.39791,0.93081,0.97484,0.71991,0.48151,0.55596,0.32768,1.36693,0.96185,0.97383,0.0008812,0.0008812,0.0008812
26,1451.4,1.39838,0.92682,0.97305,0.73065,0.48175,0.56118,0.32988,1.38323,0.93797,0.97758,0.00087625,0.00087625,0.00087625
27,1506.5,1.39184,0.93153,0.9751,0.74817,0.47232,0.55974,0.33031,1.35778,0.93298,0.96994,0.0008713,0.0008713,0.0008713
28,1561.69,1.40417,0.92791,0.9785,0.74033,0.48271,0.56146,0.3322,1.3654,0.93882,0.97351,0.00086635,0.00086635,0.00086635
29,1617.07,1.38373,0.92173,0.97367,0.73872,0.48031,0.56149,0.33397,1.35759,0.93949,0.96522,0.0008614,0.0008614,0.0008614
30,1672.32,1.40296,0.92896,0.97578,0.74166,0.48199,0.5689,0.33512,1.36069,0.92811,0.96693,0.00085645,0.00085645,0.00085645
31,1728,1.37967,0.91414,0.97363,0.76528,0.47449,0.56225,0.33666,1.35115,0.92862,0.97195,0.0008515,0.0008515,0.0008515
32,1782.88,1.37207,0.89877,0.97482,0.76201,0.47695,0.56604,0.33453,1.37004,0.93821,0.97376,0.00084655,0.00084655,0.00084655
33,1837.98,1.37607,0.90767,0.96913,0.7416,0.48751,0.57036,0.33377,1.3598,0.93619,0.96489,0.0008416,0.0008416,0.0008416
