epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8502,3.33713,2.85947,3.02399,0.01989,0.64577,0.16743,0.05932,2.62246,3.18736,2.51502,0.0673084,0.000330218,0.000330218
2,35.6883,2.55291,2.04136,2.40192,0.47353,0.30721,0.34611,0.14473,2.20929,2.40515,2.21082,0.0343068,0.000661909,0.000661909
3,52.0406,2.16909,1.69045,2.10788,0.67468,0.49149,0.58064,0.30654,1.83444,1.57079,1.91728,0.00130348,0.00099195,0.00099195
4,68.1851,1.92562,1.49302,1.90422,0.69767,0.54796,0.63454,0.31727,1.80657,1.45804,1.85424,0.000992575,0.000992575,0.000992575
5,84.2314,1.72705,1.33579,1.74135,0.81433,0.62947,0.74826,0.45173,1.48954,1.18948,1.6046,0.0009901,0.0009901,0.0009901
6,100.437,1.61029,1.24627,1.64126,0.7822,0.64765,0.74674,0.44338,1.47716,1.16335,1.54201,0.000987625,0.000987625,0.000987625
7,116.832,1.52,1.17272,1.54885,0.82549,0.65893,0.7677,0.47342,1.38898,1.1255,1.50464,0.00098515,0.00098515,0.00098515
8,133.444,1.46497,1.11488,1.48676,0.8666,0.68715,0.80288,0.52602,1.27544,1.00601,1.41343,0.000982675,0.000982675,0.000982675
9,150.074,1.41546,1.0765,1.46617,0.86907,0.721,0.81947,0.54312,1.23307,0.9531,1.3697,0.0009802,0.0009802,0.0009802
10,166.931,1.33453,1.00393,1.41131,0.89238,0.71744,0.82606,0.55013,1.24365,0.93482,1.36467,0.000977725,0.000977725,0.000977725
11,183.557,1.30843,0.98759,1.38478,0.86314,0.74796,0.83291,0.56082,1.21184,0.89771,1.33991,0.00097525,0.00097525,0.00097525
12,199.979,1.30536,0.96027,1.36347,0.88565,0.7138,0.82225,0.5547,1.21215,0.90159,1.32893,0.000972775,0.000972775,0.000972775
13,216.686,1.28217,0.9481,1.36307,0.91142,0.72895,0.83721,0.57616,1.16748,0.88422,1.31148,0.0009703,0.0009703,0.0009703
14,233.339,1.24028,0.90931,1.33727,0.90975,0.75611,0.85278,0.58252,1.15371,0.82895,1.29694,0.000967825,0.000967825,0.000967825
15,250.129,1.27679,0.92091,1.34001,0.90502,0.74672,0.84521,0.57584,1.18153,0.82708,1.30865,0.00096535,0.00096535,0.00096535
16,267.052,1.25154,0.9083,1.33354,0.90965,0.74671,0.84716,0.55667,1.22915,0.83291,1.32997,0.000962875,0.000962875,0.000962875
17,283.938,1.25687,0.90231,1.3238,0.90634,0.75841,0.84906,0.59553,1.10816,0.81532,1.2566,0.0009604,0.0009604,0.0009604
18,300.867,1.21888,0.87691,1.30194,0.91648,0.75925,0.85948,0.59238,1.16047,0.7892,1.28835,0.000957925,0.000957925,0.000957925
19,317.946,1.19308,0.8575,1.29495,0.89567,0.76971,0.86052,0.59868,1.09964,0.77383,1.26855,0.00095545,0.00095545,0.00095545
20,335.056,1.20971,0.86514,1.3027,0.90218,0.75171,0.85763,0.60366,1.08692,0.77132,1.25264,0.000952975,0.000952975,0.000952975
21,351.661,1.17415,0.83814,1.27666,0.92319,0.74608,0.86098,0.61359,1.08141,0.79105,1.24729,0.0009505,0.0009505,0.0009505
22,368.727,1.17149,0.84807,1.28029,0.92396,0.77806,0.86876,0.6091,1.1029,0.7533,1.26429,0.000948025,0.000948025,0.000948025
23,385.344,1.17837,0.82927,1.28279,0.89181,0.78307,0.86555,0.6081,1.07961,0.74264,1.24215,0.00094555,0.00094555,0.00094555
24,402.528,1.15874,0.82271,1.26888,0.92754,0.77848,0.87111,0.62557,1.06298,0.73355,1.22905,0.000943075,0.000943075,0.000943075
25,419.461,1.1431,0.81004,1.25432,0.92219,0.78026,0.87476,0.62668,1.04275,0.7292,1.21087,0.0009406,0.0009406,0.0009406
26,436.626,1.12696,0.78619,1.24746,0.92148,0.77994,0.87056,0.62952,1.03021,0.72349,1.20289,0.000938125,0.000938125,0.000938125
27,453.315,1.10922,0.78069,1.23844,0.92394,0.79211,0.87761,0.63422,1.05124,0.71688,1.21401,0.00093565,0.00093565,0.00093565
28,470.219,1.13354,0.79503,1.23613,0.91036,0.78934,0.88166,0.63751,1.03403,0.70636,1.20743,0.000933175,0.000933175,0.000933175
29,486.971,1.10024,0.77773,1.23773,0.91701,0.78621,0.87277,0.63045,1.03044,0.71871,1.20213,0.0009307,0.0009307,0.0009307
30,503.511,1.10717,0.77768,1.22658,0.91887,0.78934,0.87976,0.63794,1.03144,0.70838,1.19819,0.000928225,0.000928225,0.000928225
31,520.408,1.09892,0.77961,1.22144,0.92199,0.80188,0.88622,0.64489,1.00945,0.67793,1.18577,0.00092575,0.00092575,0.00092575
32,536.992,1.10289,0.7615,1.2266,0.91099,0.77367,0.86893,0.62161,1.04366,0.71079,1.20513,0.000923275,0.000923275,0.000923275
33,553.784,1.07643,0.74201,1.20992,0.93191,0.78081,0.88205,0.64416,1.01391,0.67713,1.19151,0.0009208,0.0009208,0.0009208
34,570.575,1.06245,0.7354,1.20211,0.93155,0.78245,0.88097,0.63925,1.0136,0.68271,1.19462,0.000918325,0.000918325,0.000918325
35,587.485,1.06228,0.73321,1.19961,0.90432,0.79995,0.87935,0.65055,0.99791,0.68253,1.17193,0.00091585,0.00091585,0.00091585
36,604.476,1.08385,0.74025,1.20918,0.91265,0.81505,0.88528,0.64131,1.0333,0.66818,1.19913,0.000913375,0.000913375,0.000913375
37,621.382,1.09058,0.7408,1.21826,0.91193,0.80815,0.88273,0.63989,1.02103,0.67062,1.18706,0.0009109,0.0009109,0.0009109
38,638.413,1.05535,0.72429,1.20434,0.91413,0.79427,0.88002,0.63911,1.02485,0.67326,1.19584,0.000908425,0.000908425,0.000908425
39,654.745,1.05181,0.71409,1.19321,0.92137,0.81066,0.89175,0.66038,0.98314,0.64453,1.16878,0.00090595,0.00090595,0.00090595
40,671.404,1.03989,0.71028,1.19314,0.9254,0.80752,0.88677,0.65733,0.97842,0.63837,1.16726,0.000903475,0.000903475,0.000903475
41,688.39,1.05614,0.70929,1.19675,0.92323,0.80672,0.88959,0.65855,0.98511,0.64742,1.16558,0.000901,0.000901,0.000901
42,705.166,1.06763,0.71642,1.20872,0.91909,0.8094,0.8904,0.65195,1.00499,0.6492,1.17937,0.000898525,0.000898525,0.000898525
43,721.809,1.06153,0.71872,1.19246,0.92343,0.80907,0.88633,0.65696,0.97685,0.65242,1.17157,0.00089605,0.00089605,0.00089605
44,738.869,1.02055,0.68266,1.17114,0.92792,0.79095,0.88471,0.65706,0.97581,0.64639,1.15839,0.000893575,0.000893575,0.000893575
45,755.919,1.03437,0.6908,1.17573,0.9261,0.79359,0.88743,0.66309,0.96241,0.64212,1.15201,0.0008911,0.0008911,0.0008911
46,772.734,1.0371,0.69491,1.1834,0.93713,0.80313,0.89433,0.66144,0.97412,0.63772,1.15667,0.000888625,0.000888625,0.000888625
47,789.628,1.04251,0.70024,1.18573,0.93044,0.80063,0.89279,0.66621,0.9706,0.62389,1.16187,0.00088615,0.00088615,0.00088615
48,806.633,1.00764,0.67868,1.16617,0.92964,0.78809,0.88818,0.66587,0.96301,0.63303,1.15619,0.000883675,0.000883675,0.000883675
49,823.52,1.01877,0.68519,1.17301,0.91752,0.80901,0.89051,0.66337,0.96969,0.62458,1.15328,0.0008812,0.0008812,0.0008812
50,840.305,1.02412,0.69105,1.18373,0.92629,0.80627,0.89367,0.65633,0.99354,0.62592,1.17517,0.000878725,0.000878725,0.000878725
51,856.868,1.02031,0.66936,1.16714,0.92499,0.81183,0.89235,0.66892,0.96566,0.61467,1.16199,0.00087625,0.00087625,0.00087625
52,873.577,1.00777,0.66782,1.16169,0.92244,0.80313,0.88728,0.66633,0.95647,0.62404,1.15773,0.000873775,0.000873775,0.000873775
53,890.498,1.03286,0.6948,1.18427,0.93159,0.81103,0.89296,0.66594,0.9641,0.60187,1.15772,0.0008713,0.0008713,0.0008713
54,907.853,1.0058,0.67853,1.16381,0.92321,0.81442,0.89303,0.66959,0.96721,0.61979,1.15918,0.000868825,0.000868825,0.000868825
55,925.083,1.01483,0.6658,1.17652,0.93813,0.80812,0.89231,0.66552,0.96358,0.60947,1.15297,0.00086635,0.00086635,0.00086635
56,942.19,1.01104,0.66133,1.14899,0.93601,0.80627,0.89719,0.67405,0.93762,0.59826,1.13023,0.000863875,0.000863875,0.000863875
57,959.074,0.98061,0.64759,1.14101,0.92031,0.81815,0.89524,0.675,0.94314,0.60812,1.14442,0.0008614,0.0008614,0.0008614
58,976.172,1.00239,0.66417,1.15833,0.92171,0.81932,0.89557,0.66661,0.96664,0.60833,1.15833,0.000858925,0.000858925,0.000858925
