epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.1104,3.38644,3.06516,1.90742,0.35439,0.26801,0.2235,0.06935,2.66268,2.10715,1.46681,0.0670887,0.000332437,0.000332437
2,118.73,2.43308,1.77976,1.34424,0.44263,0.32469,0.3089,0.13533,2.16294,1.6987,1.2379,0.0340854,0.000662475,0.000662475
3,174.004,2.15767,1.55691,1.21969,0.53584,0.33045,0.35415,0.16575,2.00251,1.53282,1.16949,0.00107882,0.000989213,0.000989213
4,227.78,2.01562,1.4554,1.16097,0.57886,0.35975,0.39924,0.19273,1.90253,1.46656,1.12552,0.00098515,0.00098515,0.00098515
5,284.059,1.92395,1.38181,1.13141,0.59322,0.36283,0.41075,0.2083,1.81535,1.36929,1.10357,0.0009802,0.0009802,0.0009802
6,340.666,1.86378,1.33739,1.10593,0.59688,0.37515,0.42486,0.21583,1.77929,1.35282,1.09016,0.00097525,0.00097525,0.00097525
7,398.83,1.83004,1.29915,1.09339,0.64861,0.37656,0.44469,0.23212,1.71833,1.28093,1.0719,0.0009703,0.0009703,0.0009703
8,455.97,1.77144,1.23744,1.07985,0.6394,0.38016,0.44262,0.23325,1.72021,1.29089,1.07121,0.00096535,0.00096535,0.00096535
9,514.41,1.76658,1.24773,1.08024,0.6374,0.40346,0.47092,0.24869,1.68046,1.23253,1.06966,0.0009604,0.0009604,0.0009604
10,572.428,1.75116,1.23042,1.07097,0.6017,0.41138,0.46155,0.24593,1.68273,1.24562,1.06605,0.00095545,0.00095545,0.00095545
11,629.543,1.70528,1.18845,1.06031,0.64026,0.41643,0.47375,0.24762,1.70101,1.23597,1.06314,0.0009505,0.0009505,0.0009505
12,687.426,1.68536,1.18146,1.05348,0.61844,0.4061,0.46769,0.25549,1.64104,1.2085,1.04507,0.00094555,0.00094555,0.00094555
13,745.033,1.67093,1.15764,1.04966,0.63527,0.41931,0.4792,0.26012,1.60882,1.16574,1.03708,0.0009406,0.0009406,0.0009406
14,802.795,1.64627,1.13327,1.04159,0.67059,0.41234,0.48625,0.26038,1.62342,1.18303,1.04165,0.00093565,0.00093565,0.00093565
15,859.999,1.63125,1.11927,1.03906,0.67208,0.42387,0.49287,0.2707,1.59146,1.1285,1.03475,0.0009307,0.0009307,0.0009307
16,918.191,1.63351,1.1225,1.03682,0.68347,0.42051,0.49962,0.27645,1.58347,1.12778,1.0265,0.00092575,0.00092575,0.00092575
17,976.449,1.62174,1.11214,1.03151,0.65684,0.44451,0.50409,0.28155,1.55603,1.11691,1.02646,0.0009208,0.0009208,0.0009208
18,1034.26,1.60852,1.09866,1.02971,0.69313,0.43324,0.50646,0.28213,1.53765,1.09642,1.01574,0.00091585,0.00091585,0.00091585
19,1092.66,1.59351,1.09563,1.02723,0.67602,0.43324,0.50815,0.27995,1.55587,1.10837,1.01631,0.0009109,0.0009109,0.0009109
20,1150.84,1.59678,1.09493,1.02812,0.69214,0.43625,0.51209,0.29152,1.51634,1.09642,1.01253,0.00090595,0.00090595,0.00090595
21,1208.16,1.57014,1.07373,1.02187,0.72194,0.43228,0.51598,0.28783,1.51306,1.07071,1.01247,0.000901,0.000901,0.000901
22,1266.37,1.58167,1.082,1.02086,0.67933,0.44597,0.51431,0.28766,1.52274,1.08321,1.0093,0.00089605,0.00089605,0.00089605
23,1323.54,1.55108,1.05789,1.01519,0.6898,0.44913,0.5181,0.29128,1.49178,1.07618,1.00988,0.0008911,0.0008911,0.0008911
24,1382.08,1.56774,1.0555,1.01617,0.73531,0.43612,0.52114,0.29383,1.50293,1.05752,1.00736,0.00088615,0.00088615,0.00088615
25,1440.06,1.53008,1.04316,1.00535,0.68837,0.44837,0.52255,0.29754,1.49086,1.05422,1.00236,0.0008812,0.0008812,0.0008812
26,1497.95,1.54235,1.04612,1.0086,0.70859,0.44404,0.52662,0.29395,1.49544,1.04632,1.00587,0.00087625,0.00087625,0.00087625
27,1555.11,1.53539,1.04211,1.01024,0.67475,0.45797,0.52668,0.29834,1.49726,1.04829,1.00597,0.0008713,0.0008713,0.0008713
28,1613.45,1.5353,1.04631,1.00878,0.69282,0.45965,0.52879,0.29903,1.46722,1.03331,1.00088,0.00086635,0.00086635,0.00086635
29,1670.81,1.5129,1.02686,1.00262,0.70098,0.45265,0.52679,0.30405,1.44409,1.03295,0.9965,0.0008614,0.0008614,0.0008614
30,1728.75,1.52246,1.03732,1.00511,0.69472,0.46758,0.54017,0.3111,1.43165,1.00094,0.99073,0.00085645,0.00085645,0.00085645
31,1787.37,1.52265,1.02384,1.00976,0.73342,0.45845,0.54297,0.30471,1.46388,1.00176,0.99992,0.0008515,0.0008515,0.0008515
32,1845.1,1.4964,1.01006,1.00349,0.68885,0.46013,0.53146,0.30382,1.46272,1.03141,0.99932,0.00084655,0.00084655,0.00084655
33,1903.95,1.49617,1.01229,0.99931,0.71989,0.45605,0.54166,0.30939,1.44441,1.02699,0.99102,0.0008416,0.0008416,0.0008416
34,1962.92,1.49662,1.00248,0.99404,0.72104,0.45869,0.54054,0.30988,1.45152,1.0223,0.99346,0.00083665,0.00083665,0.00083665
35,2021.61,1.49931,1.00667,1.0027,0.70908,0.47061,0.54705,0.30865,1.47856,1.00419,1.00024,0.0008317,0.0008317,0.0008317
36,2078.89,1.51139,1.00809,1.0011,0.72541,0.46302,0.54765,0.31635,1.43081,0.9742,0.99263,0.00082675,0.00082675,0.00082675
37,2136.8,1.4967,1.00258,0.99971,0.72852,0.46144,0.54539,0.30991,1.43474,1.01021,0.99032,0.0008218,0.0008218,0.0008218
38,2194.4,1.46829,0.98761,0.99774,0.72138,0.46974,0.55178,0.31574,1.42846,0.98943,0.99254,0.00081685,0.00081685,0.00081685
39,2253.28,1.46554,0.98449,0.99545,0.71098,0.46782,0.54574,0.31201,1.43675,1.00008,0.99024,0.0008119,0.0008119,0.0008119
40,2310.88,1.47852,0.98467,0.99736,0.70631,0.46435,0.54424,0.31304,1.42777,0.97771,0.98491,0.00080695,0.00080695,0.00080695
41,2368.79,1.46508,0.97181,0.9946,0.71985,0.46096,0.54403,0.31331,1.44161,0.99609,0.99183,0.000802,0.000802,0.000802
42,2426.53,1.4633,0.98153,0.99384,0.73671,0.46542,0.55026,0.31867,1.41593,0.98549,0.98569,0.00079705,0.00079705,0.00079705
43,2484.34,1.46095,0.96657,0.98986,0.72533,0.46803,0.55572,0.31912,1.42225,0.9806,0.98555,0.0007921,0.0007921,0.0007921
44,2541.96,1.45902,0.97239,0.98949,0.74548,0.45869,0.54854,0.31903,1.41063,0.97147,0.98534,0.00078715,0.00078715,0.00078715
45,2599.2,1.4653,0.96367,0.98405,0.74495,0.45524,0.54523,0.31517,1.42912,0.99154,0.98952,0.0007822,0.0007822,0.0007822
46,2657.17,1.46491,0.97236,0.99322,0.73266,0.47022,0.55598,0.32228,1.39953,0.96345,0.98094,0.00077725,0.00077725,0.00077725
47,2713.89,1.44838,0.95892,0.99148,0.70575,0.4743,0.5512,0.31738,1.41105,0.95986,0.98083,0.0007723,0.0007723,0.0007723
48,2771.58,1.43009,0.94732,0.98946,0.72722,0.46674,0.54558,0.31848,1.41228,0.97582,0.98539,0.00076735,0.00076735,0.00076735
49,2829.53,1.44253,0.95789,0.98397,0.70335,0.48943,0.55497,0.31658,1.4461,0.99995,0.98515,0.0007624,0.0007624,0.0007624
50,2888.08,1.43136,0.9529,0.97825,0.71378,0.49256,0.55904,0.32408,1.40673,0.95729,0.98197,0.00075745,0.00075745,0.00075745
51,2945.6,1.44128,0.95852,0.98494,0.73016,0.48487,0.56346,0.3247,1.40191,0.95783,0.97946,0.0007525,0.0007525,0.0007525
52,3003.92,1.42274,0.94702,0.98032,0.7328,0.47695,0.5631,0.32654,1.39052,0.95132,0.97731,0.00074755,0.00074755,0.00074755
53,3062.1,1.42809,0.9502,0.98283,0.72605,0.48175,0.56119,0.32901,1.39056,0.95245,0.97789,0.0007426,0.0007426,0.0007426
54,3119.62,1.4436,0.95892,0.98195,0.72904,0.48631,0.56437,0.32702,1.38777,0.96996,0.9771,0.00073765,0.00073765,0.00073765
55,3177.28,1.41003,0.9323,0.97729,0.7322,0.48391,0.56434,0.32792,1.38136,0.93774,0.97677,0.0007327,0.0007327,0.0007327
56,3235.12,1.43025,0.95041,0.98276,0.73175,0.4802,0.56204,0.32904,1.36483,0.93621,0.97394,0.00072775,0.00072775,0.00072775
57,3292.28,1.4048,0.9362,0.97447,0.74437,0.47094,0.56235,0.33013,1.37464,0.94555,0.97545,0.0007228,0.0007228,0.0007228
58,3350.64,1.41589,0.93245,0.97959,0.73884,0.48239,0.56882,0.333,1.38389,0.93318,0.97543,0.00071785,0.00071785,0.00071785
59,3407.63,1.42139,0.93539,0.98324,0.74503,0.48319,0.56627,0.33328,1.37981,0.92562,0.97735,0.0007129,0.0007129,0.0007129
60,3465.62,1.4118,0.93344,0.97161,0.72918,0.48031,0.56306,0.33301,1.37918,0.93219,0.97726,0.00070795,0.00070795,0.00070795
61,3524.12,1.40615,0.92859,0.98008,0.72185,0.49592,0.56913,0.33437,1.3589,0.92903,0.97189,0.000703,0.000703,0.000703
62,3582.19,1.39328,0.9167,0.97147,0.73483,0.48703,0.56608,0.3327,1.36232,0.92548,0.96957,0.00069805,0.00069805,0.00069805
63,3639.64,1.39443,0.91641,0.97386,0.75228,0.47863,0.56828,0.32756,1.37501,0.93918,0.97268,0.0006931,0.0006931,0.0006931
64,3698.03,1.38588,0.91204,0.97602,0.74204,0.48287,0.57094,0.33572,1.35973,0.92362,0.96705,0.00068815,0.00068815,0.00068815
65,3756.34,1.3866,0.91138,0.9715,0.72854,0.48583,0.56957,0.33606,1.37125,0.91851,0.97055,0.0006832,0.0006832,0.0006832
66,3815.22,1.38461,0.91453,0.96916,0.75151,0.49039,0.57427,0.33412,1.36422,0.9223,0.96911,0.00067825,0.00067825,0.00067825
67,3872.85,1.38859,0.91418,0.97685,0.74644,0.48247,0.56981,0.33654,1.37051,0.91827,0.9691,0.0006733,0.0006733,0.0006733
68,3930.39,1.39137,0.92539,0.97343,0.74084,0.48742,0.571,0.33414,1.3617,0.92106,0.96887,0.00066835,0.00066835,0.00066835
69,3988.04,1.39659,0.91496,0.97305,0.75659,0.48319,0.56941,0.33584,1.35369,0.91544,0.97074,0.0006634,0.0006634,0.0006634
70,4046.04,1.37159,0.89877,0.96851,0.72335,0.5048,0.5737,0.33764,1.3567,0.90225,0.97019,0.00065845,0.00065845,0.00065845
71,4103.74,1.38167,0.90928,0.96676,0.75573,0.48319,0.57298,0.33719,1.36456,0.91149,0.97058,0.0006535,0.0006535,0.0006535
72,4161.06,1.36949,0.89684,0.96431,0.7387,0.49616,0.57281,0.33713,1.35922,0.91204,0.97366,0.00064855,0.00064855,0.00064855
73,4218.65,1.38742,0.92557,0.97587,0.7343,0.49579,0.57342,0.33825,1.36533,0.90924,0.96999,0.0006436,0.0006436,0.0006436
74,4277.16,1.38269,0.90725,0.97541,0.75668,0.48535,0.57424,0.33805,1.36189,0.90741,0.97136,0.00063865,0.00063865,0.00063865
75,4334.29,1.38544,0.90283,0.97231,0.75437,0.48343,0.57451,0.33709,1.34765,0.90686,0.96788,0.0006337,0.0006337,0.0006337
76,4392.63,1.37507,0.89618,0.97216,0.75771,0.49712,0.58069,0.3441,1.35508,0.9083,0.96697,0.00062875,0.00062875,0.00062875
77,4450.58,1.37725,0.90643,0.96884,0.7457,0.49424,0.57874,0.34209,1.35435,0.901,0.96889,0.0006238,0.0006238,0.0006238
78,4507.52,1.37782,0.9049,0.97064,0.76167,0.48943,0.5781,0.34183,1.3424,0.90434,0.96455,0.00061885,0.00061885,0.00061885
79,4566.19,1.35324,0.89667,0.96934,0.74561,0.49159,0.57666,0.34306,1.347,0.90276,0.9658,0.0006139,0.0006139,0.0006139
80,4623.94,1.34838,0.88001,0.96303,0.72322,0.5072,0.58166,0.34652,1.34479,0.89158,0.96384,0.00060895,0.00060895,0.00060895
81,4681.21,1.36885,0.8952,0.96858,0.73703,0.48871,0.578,0.34424,1.3437,0.89223,0.96349,0.000604,0.000604,0.000604
82,4738.33,1.36,0.88586,0.95976,0.74453,0.49272,0.57717,0.3411,1.34711,0.90526,0.96465,0.00059905,0.00059905,0.00059905
83,4793.87,1.36863,0.89294,0.96662,0.75691,0.48823,0.57663,0.34413,1.34027,0.89228,0.96419,0.0005941,0.0005941,0.0005941
84,4849.53,1.35498,0.88628,0.95979,0.76246,0.49304,0.58366,0.34723,1.32381,0.87944,0.95985,0.00058915,0.00058915,0.00058915
85,4904.45,1.34039,0.8753,0.95937,0.75599,0.49403,0.58042,0.34502,1.32785,0.88987,0.96101,0.0005842,0.0005842,0.0005842
86,4959.95,1.32835,0.8713,0.95362,0.74844,0.5036,0.58166,0.34449,1.32829,0.88873,0.96167,0.00057925,0.00057925,0.00057925
87,5015.71,1.37048,0.89418,0.96229,0.73888,0.50504,0.58318,0.34563,1.33694,0.88781,0.95978,0.0005743,0.0005743,0.0005743
88,5071.18,1.34423,0.87379,0.9633,0.74986,0.50144,0.58617,0.34976,1.3256,0.87494,0.95969,0.00056935,0.00056935,0.00056935
89,5126.67,1.35354,0.87778,0.96282,0.77474,0.49352,0.58523,0.34777,1.32719,0.88929,0.95942,0.0005644,0.0005644,0.0005644
90,5182.52,1.3379,0.86777,0.95744,0.74485,0.50552,0.58404,0.34841,1.31805,0.88098,0.9596,0.00055945,0.00055945,0.00055945
91,5238.66,1.33778,0.87726,0.95572,0.78822,0.48895,0.5851,0.35214,1.31674,0.87758,0.95701,0.0005545,0.0005545,0.0005545
92,5293.45,1.3355,0.87982,0.95614,0.75101,0.50264,0.58593,0.34937,1.32222,0.88619,0.95906,0.00054955,0.00054955,0.00054955
93,5351.22,1.34557,0.8769,0.96055,0.76836,0.49548,0.58586,0.35044,1.32265,0.87902,0.95694,0.0005446,0.0005446,0.0005446
94,5407.32,1.33777,0.86564,0.9594,0.76928,0.4964,0.58784,0.35088,1.32144,0.87388,0.95844,0.00053965,0.00053965,0.00053965
95,5462.82,1.34324,0.87319,0.96233,0.75746,0.50264,0.58914,0.35188,1.32443,0.87627,0.95844,0.0005347,0.0005347,0.0005347
96,5518.56,1.33845,0.87782,0.95829,0.74851,0.50535,0.58509,0.34753,1.33768,0.87927,0.96246,0.00052975,0.00052975,0.00052975
97,5575.11,1.33792,0.86352,0.95817,0.76837,0.50144,0.59064,0.35217,1.31923,0.86848,0.95855,0.0005248,0.0005248,0.0005248
98,5629.6,1.32478,0.86364,0.95734,0.75024,0.50144,0.58865,0.35135,1.32709,0.86809,0.96126,0.00051985,0.00051985,0.00051985
99,5685.07,1.32977,0.87453,0.95392,0.7454,0.50836,0.59171,0.35315,1.32171,0.86337,0.96142,0.0005149,0.0005149,0.0005149
100,5740.78,1.33752,0.86934,0.95564,0.75804,0.50432,0.58987,0.35149,1.32499,0.87236,0.95963,0.00050995,0.00050995,0.00050995
101,5795.96,1.33165,0.86341,0.95707,0.7624,0.5048,0.5893,0.35399,1.31594,0.86424,0.95718,0.000505,0.000505,0.000505
102,5851.22,1.34212,0.86949,0.9576,0.76136,0.49726,0.58558,0.35032,1.31101,0.868,0.95599,0.00050005,0.00050005,0.00050005
103,5906.92,1.31392,0.85077,0.94929,0.76436,0.50324,0.59186,0.35442,1.31113,0.86866,0.95345,0.0004951,0.0004951,0.0004951
104,5962.31,1.34181,0.8639,0.95888,0.7481,0.50566,0.59068,0.3546,1.32133,0.86484,0.9574,0.00049015,0.00049015,0.00049015
